id,name,club,gender,yob,fit,weight,experience
5,Joe Frazier,The Academy Boxing Club,male,2011,yes,42,12
6,George Foreman,The Academy Boxing Club,male,2011,yes,42,17
8,Manny Pacquiao,Baldoyle BC,male,2011,yes,45,16
11,Evander Holyfield,Cookstown ABC,male,2011,yes,48,19
13,Roy Jones,Johnstone ABC,male,2011,yes,49.7,12
14,Bernard Hopkins,Baldoyle BC,male,2010,yes,50,26
26,Jersey Joe Walcott,Baldoyle BC,male,2011,yes,54,16
32,Gene Tunney,Baldoyle BC,male,2011,yes,56,24
37,Bob Fitzsimmons,NoMercy/champscamp,male,2010,yes,57,11
39,James Corbett,Baldoyle BC,male,2011,yes,58,20
84,Erik Morales,Baldoyle BC,male,2010,yes,68,20
