id,name,club,gender,yob,fit,weight,experience
17,Sugar Ray Leonard,The Academy Boxing Club,male,2009,yes,50,11
18,Roberto Duran,Finchley ABC,male,2008,yes,51,29
28,Barney Ross,Cherry Orchard,male,2009,yes,54,20
51,Ricky Hatton,The Academy Boxing Club,male,2009,yes,60,15
58,Naoya Inoue,Baldoyle BC,male,2009,yes,63,35
68,Lawrence Okolie,Islington,male,2008,yes,63.5,35
74,Riddick Bowe,Baldoyle BC,male,2009,yes,66,20
98,Jermell Charlo,The Bronx,male,2008,yes,70,19
101,Artur Beterbiev,Finchley ABC,male,2008,yes,71,19
102,Gilberto Ramirez,Finchley ABC,male,2008,yes,71,13
111,Ryan Garcia,Baldoyle BC,male,2009,yes,75,25
114,Devin Haney,Team NL,male,2009,yes,75,20
